"idf"	"site"	"period"	"median"	"code"	"lon"	"lat"	"sourcedb"
2	"Anza, Anzabegovo"	"EN"	-6413	"BSk"	22	41	"radon"
4	"Argissa Magoula"	"EN"	-6600	"BSk"	22.343997	39.659064	"katsianis"
6	"Delphinos river"	"EN"	-6809	"Csa"	24.293122	35.355486	"katsianis"
7	"Dikili Tash"	"EN"	-6425	"Cfa"	24.312335	41.007211	"katsianis"
8	"Dimitra. Serres"	"EN"	-6328	"BSk"	23.864148	40.976793	"katsianis"
9	"Elateia"	"EN"	-6333	"Csa"	22.768689	38.627448	"katsianis"
11	"Franchthi"	"EN"	-6795	NA	23.130156	37.340767	"bda"
12	"Franchthi Cave"	"EN"	-6784	NA	23.1333	37.4333	"calpal"
14	"Fyllotsairi. Mavropigi"	"EN"	-6577	"Cfa"	21.735498	40.467846	"katsianis"
15	"Giannitsa B"	"EN"	-6383	"BSk"	22.413079	40.788133	"katsianis"
17	"Knossos"	"EN"	-6875	"Csa"	25.162338	35.300889	"katsianis"
20	"Lefkopetra"	"EN"	-6572	"Cfa"	22.175805	40.41971	"katsianis"
21	"Megalo Nisi Galanis"	"EN"	-6205	"Cfa"	21.882193	40.379387	"katsianis"
22	"Nea Nikomedeia"	"EN"	-6675	"BSk"	22.266226	40.603447	"katsianis"
23	"Orfeas cave. Alistrati"	"EN"	-6469	"Cfa"	24.006114	41.023839	"katsianis"
24	"Paliambela. Pieria"	"EN"	-6529	"BSk"	22.508219	40.510965	"katsianis"
26	"Porodin"	"EN"	-6112	"Dfb"	21.483333	40.883333	"radon"
29	"Sarakenos cave. Akraifnio"	"EN"	-6893	"Csa"	23.204497	38.45622	"katsianis"
33	"Sesklo A"	"EN"	-6593	"BSk"	22.843662	39.355762	"katsianis"
34	"Sesklo B"	"EN"	-6388	"BSk"	22.843314	39.353688	"katsianis"
35	"Sesklo C"	"EN"	-6427	"BSk"	22.843564	39.356426	"katsianis"
36	"Sidari"	"EN"	-6033	"Csa"	19.698615	39.780078	"neonet"
37	"Sidari. Corfou"	"EN"	-6383	"Csa"	19.702416	39.801546	"katsianis"
39	"Varemenoi-Goulon"	"EN"	-6376	"Cfa"	21.900587	40.15207	"katsianis"
40	"Vrsnik-Tarinci"	"EN"	-5834	"BSk"	22.15	41.75	"radon"
