"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"radon"	"Divostin"	126	"Bln-899"	20.833333	44.033333	"EN"	-6068	126	"Cfa"
"calpal"	"Donja Branjevina"	127	"GrN-15974"	19.2332	45.3803	"EN"	-6022	127	"Cfa"
"neonet"	"Gudnja Cave"	173	"GrN-10315"	17.68882	42.833349	"EN"	-6035	173	"Cfa"
"radon"	"Magareći Mlin"	211	"GrN-15973"	21.67556	43.94194	"EN"	-6001	211	"Dfb"
"bda"	"Obre I"	237	"UCLA-1605-I"	18.1	44.183333	"EN"	-6058	237	"Dfb"
"calpal"	"Perlez-Batka \"\"C\"\""	254	"OxA-8605"	20.4021	45.1272	"EN"	-6015	254	"Cfa"
"neonet"	"Pulo di Molfetta"	276	"LTL-142a"	16.575815	41.194638	"EN"	-6004	276	NA
"calpal"	"Topole-Bač"	332	"OxA-8693"	19.4436	45.2234	"EN"	-6033	332	"Cfa"
"neonet"	"Uzzo"	340	"OxA-13808"	12.786694	38.109951	"EN"	-6035	340	NA
"neonet"	"Vela Spila"	349	"OxA-18118"	16.71836	42.969649	"EN"	-6008	349	NA
